category,text,predicted_category_llama3,predicted_category_llama3:70b,predicted_category_mixtral,predicted_category_gpt-3.5-turbo
entertainment,top gig award for scissor sisters new york band scissor sisters have won a gig of the year award for their performance at this year s v festival.  the award was voted for by listeners of virgin radio  which compiled a top 10 which was mostly dominated by newcomers on the music scene this year. the quirky disco-rock band beat the red hot chili peppers who came second for their hyde park performance in june. virgin radio dj pete mitchell said:  this year has seen an amazing array of talent come into the mainstream.  he added:  the scissor sisters are one of the most original  eccentric bands to come through and it s no surprise the british public are lapping up their performances.  newcomers keane came in third place for their august gig at the v festival  followed by maroon 5 and snow patrol.  music veterans the who and david bowie  both earned places on the list  at number eight and 10 respectively. at number seven was oxfam s make fair trade gig at london s hammersmith apollo in october  which featured performances by rem  razorlight and coldplay s chris martin. glasgow s franz ferdinand earned a place at number nine for their home-town performance in april. the annual survey was voted for by nearly 4 000 listeners.,entertainment,entertainment, entertainment,output: entertainment
business,ukraine revisits state sell-offs ukraine is preparing what could be a wholesale review of the privatisation of thousands of businesses by the previous administration.  the new president  viktor yushchenko  has said a  limited  list of companies is being drawn up. but on wednesday prime minister yulia tymoshenko said the government was planning to renationalise 3 000 firms. the government says many privatised firms were sold to allies of the last administration at rock-bottom prices. more than 90 000 businesses in all  from massive corporations to tiny shopfronts  have been sold off since 1992  as the command economy built up when ukraine was part of the soviet union was dismantled.  ms tymoshenko said prosecutors had drawn up a list of more than 3 000 businesses which were to be reviewed.  we will return to the state that which was illegally put into private hands.   a day earlier  mr yushchenko - keen to reassure potential investors - had said only 30 to 40 top firms would be targeted. the list  will be limited and final  and will not be extended after its completion   he said. an open-ended list could further damage outside investors  fragile faith in ukraine  said stuart hensel of the economist intelligence unit. but the government seemed keen not to make the review look like the kind of wholesale renationalisation which many fear in russia  mr hensel said. as a result  it was planning to resell rather than keep firms in state hands.  they re aware of the need not to scare investors  and to be careful of internal divides within ukraine   he said.  they don t want to be seen to be transferring assets from one set of oligarchs to a new set.  foreign investment in ukraine  at about $40 a head in 2004  is one of the lowest among ex-soviet states.  mr yushchenko became president after two elections in december  the first of which was annulled amid allegations of voting irregularities and massive street protests.  his opponent  viktor yanukovich  still has huge support in the country s eastern industrial heartland. mr yushchenko s administration has accused its predecessor  led by ex-president leonid kuchma  of corruption. the privatisation review s number one target is a steel mill sold to a consortium which included viktor pinchuk  mr kuchma s son-in-law  for $800m (£424m) despite higher bids from several foreign groups. the mill  krivorizhstal  is one of the world s most profitable.  we say krivorizhstal was stolen  and at any cost we will return it to the state   mr yushchenko told an investors  conference in kiev.  one of the jilted bidders  netherlands-based group lnm  said it welcomed the possibility that the mill might be back on the market.   if the original privatisation is annulled and a new tender issued  then we would look at it with great interest   a spokesman told bbc news. a resale of krivorizhstal could potentially triple the price  according to the economist intelligence unit s mr hensel. but he warned that the government could decide to take the easy route of revaluing the company and charging the existing owners the revised price rather than undertaking a fresh sale.  that way  mr yushchenko can go to the public and say he has forced the oligarchs to play by the rules   he told bbc news.,business,business, business,output: politics
sport,tv calls after carroll error spurs boss martin jol said his team were  robbed  at manchester united after pedro mendes  shot clearly crossed the line but was not given.   the referee is already wearing an earpiece so why can t we just stop the game and get the decision right   said jol after the 0-0 draw.  but at the end of the day it s so obvious that pedro s shot was over the line it s incredible.  we feel robbed but it s difficult for the linesman and referee to see it.  mendes shot from 50 yards and united goalkeeper roy carroll spilled the ball into his own net before hooking it clear. jol added:  we are not talking about the ball being a couple of centimetres or an inch or two over the line  it was a metre inside the goal.  what really annoys me is that we are here in 2005  watching something on a tv monitor within two seconds of the incident occurring and the referee isn t told about it.   we didn t play particularly well but i am pleased - even now - with a point  although we should have had three.  mendes could not believe the  goal  was not given after seeing a replay. he said:  my reaction on the pitch was to celebrate.  it was a very nice goal  it was clearly over the line - i ve never seen one so over the line and not given in my career.  it s really  really over. what can you do but laugh about it  it s a nice goal and one to keep in my memory even though it didn t count.  it s not every game you score from the halfway line.  manchester united manager sir alex ferguson sympathised with tottenham and said the incident highlighted the need for video technology.  i think it hammers home what a lot of people have been asking for and that s that technology should play a part in the game   ferguson told mutv.  what i was against originally was the time factor in video replays.  but i read an article the other day which suggested that if a referee can t make up his mind after 30 seconds of watching a video replay then the game should carry on.   thirty seconds is about the same amount of time it takes to organise a free-kick or take a corner or a goal-kick. so you wouldn t be wasting a lot of time.  i think you could start off by using it for goal-line decisions. i think that would be an opening into a new area of football.  arsenal boss arsene wenger also used the incident to highlight the need for video technology.  when the whole world apart from the referee has seen there should be a goal at old trafford  that just reinforces what i feel - there should be video evidence   said wenger.  it s a great example of where the referee could have asked to see a replay and would have seen in five seconds that it was a goal.,sport,sport, sport,output: sport
politics,uk heading wrong way - howard tony blair has had the chance to tackle the problems facing britain and has failed  michael howard has said.   britain is heading in the wrong direction   the conservative leader said in his new year message. mr blair s government was a  bossy  interfering government that takes decisions that should be made by individuals   he added. but labour s campaign spokesman fraser kemp responded:  britain is working  don t let the tories wreck it again . mr howard also paid tribute to the nation s character for its generous response to the asian quake disaster. the catastrophe was overshadowing the hopes for the future at this usually positive time of the year  mr howard said.   we watched the scenes of destruction with a sense of disbelief. the scale  the speed  the ferocity of what happened on boxing day is difficult to grasp.  yet britain s response has shone a light on our nation s character. the last week has shown that the warm  caring heart of britain beats as strong as ever.  he went on to reflect on the values that  most britons hold dear . looking ahead to the coming general election  he pledged to  turn these beliefs into reality  and set out the choices he says are facing britain.  how much tax do people want to pay  who will give taxpayers value for money  the clean hospitals and good  disciplined schools they want   who can be trusted to get a grip on the disorder on our streets and the chaos in our immigration system    mr blair has failed to tackle these problems  he claimed  saying he has the  wrong solution  to them.   the result is big government and higher taxes eroding incentives  undermining enterprise and denying people choice.  worst of all  it is a government that has wasted people s money and failed to tackle the problems families face today.  the tories  he said  can cut crime and improve public services without asking people to pay more taxes.  we can have progress without losing what makes britain great - its tolerance  the respect for the rule of law  the ability of everyone to fulfil their potential.  we simply need to change direction. the election will give britain the chance to change.  this is the record mr blair will have to defend in the coming months  he said  urging voters to hold him to account.  but labour spokesman mr kemp said:  it would be more appropriate for this message to come out on 1 april  not 1 january.   let us never forget that when michael howard was in government britain suffered mass unemployment  15% interest rates  record home repossessions  and the introduction of the poll tax.  with labour britain is working. rather than alluding to false promises michael howard should be starting 2005 with an apology to the british people for the misery that the government  of which he was a member  inflicted upon the country.,politics,politics, politics,output: politics
tech,xbox 2 may be unveiled in summer details of the next generation of microsoft s xbox games console - codenamed xenon - will most likely be unveiled in may  according to reports.  it was widely expected that gamers would get a sneak preview of xbox s successor at the game developers conference (gdc) in march. but a microsoft spokeswoman confirmed that it would not be at gdc. sony  microsoft and nintendo are all expected to release their more powerful machines in the next 18 months. the next xbox console is expected to go on sale at the end of the year  but very few details about it have been released. it is thought that the machine may be unveiled at the electronic entertainment expo (e3) in los angeles  which takes place in may  according to a reuters news agency report. e3 concentrates on showing off the latest in gaming to publishers  marketers and retailers. the gdc is aimed more at game developers. microsoft chief  bill gates  used the gdc event to unveil the original xbox five years ago. since its launch  microsoft has sold 19.9 million units worldwide.  at the consumer electronics show earlier this year  there was very little mention of the next generation gaming machine. in his keynote speech  mr gates only referred to it as playing an essential part of his vision of the digital lifestyle.  but the battle between the rival consoles to win gamers  hearts and thumbs will be extremely hard-fought. sony has traditionally dominated the console market with its playstation 2. but earlier this year  microsoft said it had reached a european milestone  selling five million consoles since its european launch in march 2002. hit games like halo 2  which was released in november  helped to buoy the sales figures.  gamers are looking forward to the next generation of machines because they will have much more processing and graphical power.  they are also likely to pack in more features and technologies that make them more central as entertainment and communications hubs. although details of playstation 3  xenon  and nintendo s so-called revolution  are yet to be finalised  developers are already working on titles. rory armes  studio general manager for games giant electronic arts (ea) in europe  recently told the bbc news website in an interview that ea was beginning to get a sense of the capabilities of the new machines. microsoft had delivered development kits to ea  but he said the company was still waiting on sony and nintendo s kits. but  he added  the playstation 3 was rumoured to have  a little more under the hood [than xbox 2] .,tech,tech, sport,output: tech
politics,cherie accused of attacking bush cherie blair has been accused of criticising george w bush s policies in a private address she gave during a united states lecture tour.  the prime minister s wife is said to have praised the supreme court for overruling the white house on the legal rights of guantanamo bay detainees. the tories said she broke a convention that british political figures do not act in a partisan way when abroad. but downing street said she was speaking in her capacity as a lawyer. it said she was not expressing political opinions. mrs blair s remarks are said to have been made in a speech to law students in massachusetts. she said the decision by the us supreme court to give legal protection to two britons held at guantanamo bay was a significant victory for human rights and the international rule of law. she also described the us legal code as an outdated grandfather clock and welcomed a decision to throw out a law backed by mr bush relating to sodomy in texas.  bbc news correspondent gary o donoghue said mrs blair was likely to face further calls for restraint  since the us election is imminent.  there have been some objections from people reasonably close to the bush administration about her making these comments in their backyard just two days before a presidential election   he said.  conservatives here too have made their feelings clear.  cherie booth has always regarded herself as having an independent career. she has continued to practise as a major human rights lawyer in the courts.  it s not unusual for her to make these sorts of criticisms clear but it can be embarrassing.,politics,politics, politics,output: politics
politics,blair dismisses quit claim report tony blair has dismissed reports he told gordon brown he would quit before the next general election.   you don t do deals over jobs like this   the prime minister told bbc one s breakfast with frost programme. according to a new book  brown s britain  mr blair went back on a pledge to make way for mr brown after cabinet allies intervened in june 2004. mr blair said the claims were  reheated from six months ago  and that he was concentrating on running the country. mr blair said:  i ve dealt with this six months ago. i said then you don t do deals over jobs like this - you don t.   what both of us are actually concentrating on are the issues that concern the country.  the book  by sunday telegraph journalist robert peston and serialised in the newspaper  said the pair had  mutual animosity and contempt  for each other.  it claims tony blair felt by november 2003 he had lost voters  trust because of the iraq war and that he was no longer an asset to the labour party. and that at a dinner hosted by deputy prime minister john prescott he told mr brown of his intention to stand down. according to mr peston the prime minister said:  help me to get through the year and i will then stand down.  but he then changed his mind in june 2004  following intervention from allies in the cabinet and the suspicion that the chancellor was deliberately manoeuvring against him  according to the book.  mr peston told bbc news:  my understanding is that they are not nearly as close or as friendly as they once were.  what the book says is there is now a pretty profound mutual mistrust  mutual animosity.  i think in public you see this double-act pretending everything is alright  but in private i don t think the relationship is good because brown  understandably  feels deeply betrayed - particularly over this issue of the leadership.  but  in a wide-ranging bbc interview covering issues such as the asian tsunami disaster  the middle east peace process and northern ireland  mr blair said:  when you get to the top in politics you get this huge swell around you.  all sorts of people make all sorts of claims and counter-claims.  he admitted to a  sense of frustration  about the allegations which he said had been made  countless times .  there has been fresh speculation of a rift recently  following their separate responses to the asian tsunami. these rumours were fuelled by mr blair s decision to hold his monthly media conference at the same time as a long-planned speech by mr brown on uk plans to tackle global poverty with a new  marshall plan  for africa. there was speculation the pair were trying to outdo each other s response to the disaster. but the prime minister said he had discussed these claims with the chancellor and dismissed them as a  load of nonsense . former welfare minister frank field mp said the prime minister should sack mr brown  but did not believe mr blair was strong enough to do so.  tory leader michael howard accused the prime minister and mr brown of  squabbling like schoolboys . he told sky news  sunday with adam boulton:  this is the politics of the playground and britain really does deserve better.  the liberal democrat parliamentary chairman matthew taylor said the personal ambition of mr blair and mr brown was  getting in the way of good government .  either they need to grow up and put their squabbles to one side or they cannot expect the electorate to support a divided government at the next election.  during the interview mr blair also said the former home secretary david blunkett would play a  big role  at the general election.,politics,politics, politics,output: politics
entertainment,baby becomes new oscar favourite clint eastwood s boxing drama million dollar baby has become the new favourite to win best picture at the oscars on sunday.  according to pundits  the film has overtaken previous favourite the aviator  with eastwood also tipped to take the best director award. its star hilary swank is favourite to win best actress while jamie foxx is tipped to win best actor for ray. million dollar baby has seven nominations while the aviator has 11. the aviator has scored a best director nomination for martin scorsese  who has never won an oscar  while stars leonardo dicaprio and cate blanchett are both nominated for acting oscars.   if you look at the oscars race  the aviator should be ahead   said awards pundit tom o neil.  it is the most nominated film  and the most nominated movie has won best picture 18 times out of the last 20 years.  but the reality is million dollar baby is the dark horse. people feel emotionally about it and clint is a beloved hollywood chum of the academy voters   he said. anne thompson of the hollywood reporter said that million dollar baby was  heart-wrenching .  it s very emotional  it even makes grown men cry   she said.  the aviator is a gorgeous movie  but it s colder.   in the acting categories  foxx is regarded as almost unbeatable for his performance as ray charles in ray.  the performance is based on a real person who was a showbusiness hero with a handicap  who recently died   o neil said.  he has unstoppable momentum among the voters.  hilary swank is the favourite to win best actress for the second time in six years. she previously won in 1999 for her performance in boys don t cry. in the supporting categories  cate blanchett is tipped to win for her performance as katharine hepburn in the aviator  while morgan freeman is favourite to take home his first ever oscar  for million dollar baby. the oscars will take place at hollywood s kodak theatre on 27 february.,entertainment,entertainment, entertainment,output: entertainment
politics,new rules tackle  sham weddings  new rules on marriage for foreign nationals living in the uk are coming into force.  from tuesday  most non-eu citizens will need home office approval to marry. the home office says the new rules are aimed at reducing the number of sham marriages  of which there are estimated to be up to 15 000 a year. but immigrants  group the joint council for the welfare of immigrants (jcwi) says the rules breach human rights law and it may mount a legal challenge. when the changes were unveiled last year  immigration minister des browne said:  our aim is to avoid unnecessary disruption of genuine marriages  while providing firm controls to prevent abuse.  under the previous regulations anybody wishing to get married in the uk only had to produce evidence they had been resident in the country for a week and give 15 days notice of the wedding at the local register office.  but from tuesday all non-eu nationals  apart from citizens of switzerland  liechtenstein  iceland or norway  intending to wed in the uk must either obtain a visa allowing them to get married before they enter the country or apply for a home office  certificate of marriage approval . to get a certificate  costing £135  applicants will have to send proof that they have a legal right to be in the uk. those without a settled status  such as asylum seekers awaiting a decision on their application  will have no right to marry in the uk.  once they have the necessary documentation  those subject to immigration controls wishing to get married in england or wales must register their intention to marry at one of 76 specially-designated register offices. they can  however  marry at the register office or church of their choice. rhian beynon of the jcwi said the new rules were  not proportionate  and  discriminatory .   these rules means in some cases the home secretary is going to be a marriage registrar of last resort.  we re currently taking a legal opinion on this. we ll be looking for people whose right to marry is breached and we ll be looking at taking a case on this to the human rights court   ms beynon said. the new rules have also been called into question by the parliamentary joint committee on human rights. in a report published last july the cross-party committee stated there was a  significant risk  the new procedures were incompatible with the right to marry because they introduced restrictions which were  disproportionate . the committee believed the new laws might be incompatible with the human rights act on the grounds of religion  belief and nationality  the report added.  over the last year immigration service operations against marriages of convenience have been stepped up resulting in a growing number of convictions. in january 25 people who took part in a sham marriage network based in leicester were jailed for a total of 35 years. and last november samuel amoah  a belgian national who set up two sham weddings for couples who wanted to remain in the uk  was jailed for three years. several other cases are currently going through the courts. the role of registrars who under the asylum and immigration act 1999 were obliged to report suspected sham marriages to the home office  has been key in many prosecutions. registrars  spokesman  mark rimmer  said they welcomed the new marriage regulations and believed they would be an significant deterrent.  they will effectively remove most of the blatant cases. certainly those who are illegals in this country  of which we had quite a few  will no longer be getting married   mr rimmer said. mr rimmer  the service director for registrations of marriages at brent council in north-west london  said he did not consider the new law to be an infringement of civil liberties.  it may be seen to be far more draconian than it has been but certainly it s still not as difficult to marry in the uk than it is to marry  for example  in holland  germany or france.  i think it s a proportionate response by government to what was a very large problem   mr rimmer said.,politics,politics, politics,output: politics
tech,sony wares win innovation award sony has taken the prize for top innovator at the annual awards of pc pro magazine.  it won the award for taking risks with products and for its  brave  commitment to good design. conferring the award  pc pro s staff picked out sony s pcg-x505/p vaio laptop as a  stunning piece of engineering . the electronics giant beat off strong competition from toshiba and chip makers amd and intel to take the gong.  paul trotter  news and features editor of pc pro  said several sony products helped it to take the innovation award.  he said sony s clie peg ux50 media player with its swivel screen and qwerty keyboard  broke the design rules yet again . other sony products that helped included the vaio w1 desktop computer and the ra-104 media server. mr trotter said sony s combining of computer  screen and keyboard in the w1 was likely to be widely copied in future home pcs. the company has also become one of the first to use organic leds in its products.  while not always inventing new technology itself  sony was never afraid to innovate around various formats   said mr trotter.  other awards decided by pc pro s staff and contributors included one for canon s eos 300d digital camera in the most wanted hardware category.  microsoft s media player 10 took the award for most wanted software. this year was the 10th anniversary of the pc pro awards  which splits its prizes into two sections. the first are chosen by the magazine s writers and consultants  the second are voted for by readers. mr trotter said more than 13 000 people voted for the reliability and service awards  twice as many as in 2003. net-based memory and video card shop crucial shared the award for online vendor of the year with novatech.,tech,tech, tech,output: tech
sport,wru proposes season overhaul the welsh rugby union wants to restructure the northern hemisphere season into four separate blocks.  the season would start with the celtic league in october  followed by the heineken cup in february and march  and the six nations moved to april and may. after a nine week break  the wru then proposes a two-month period of away and home international matches. wru chairman david pickering said the structure would end problems of player availability for club and country. he added:  we feel sure that spectator interest would respond to the impetus of high intensity rugby being played continuously rather than the fragmented timetable currently in operation.  equally  we suspect that the sponsors would prefer the sustained interest in a continuous tournament and hopefully  the broadcasters would also enjoy increased exposure.  moving the six nations from its traditional february beginning should also ensure better weather conditions and  stimulate greater interest in the games and generally provide increased skills and competition and attract greater spectator viewing   pickering argued. the plan will be put before the international rugby board next month  where four other plans drawn up by independent consultants for a global integrated season will also be discussed. pickering added:  it s very early days and there are a number of caveats associated with it - not least the revenue from the broadcasters  which is extremely important.  we ve got a good plan and one which should be judged on its merits.,sport,sport, sport,output: sport
sport,safin slumps to shock dubai loss marat safin suffered a shock loss to unseeded nicolas kiefer in round one of the dubai tennis championships.  playing his first match since winning the australian open  safin showed some good touches but was beaten 7-6 (7-2) 6-4 by the in-form kiefer. the german got on top in the first-set tie-break  striking a sweet forehand to win the first point against serve. and he maintained the momentum early in the second set  breaking the russian with the help of an inspired volley. spain s feliciano lopez lined up a second round clash with andre agassi by beating thailand s paradorn srichaphan. lopez  who lost in three sets to roger federer in last year s final  won 6-2 3-6 6-3. former champion fabrice santoro of france was beaten 6-3 6-0 by sixth seeded russian nikolay davydenko. there were also wins for two other russians  igor andreev and seventh seed mikhail youzhny.,sport,sport, sport,output: sport
sport,big guns ease through in san jose top-seeded americans andy roddick and andre agassi survived minor scares to reach the last eight of the sap open.  agassi endured early problems against left-handed dane kenneth carlsen before sealing a 7-5 6-1 victory. and world number three roddick dropped a set to korean player hyung-taik lee  before pulling out a 6-3 3-6 6-2 win in san jose  california. seventh seed jurgen melzer came through 6-3 6-3 against xavier malisse - winner in delray beach last week. frenchman cyril saulnier  meanwhile  fired 19 aces to secure a 6-1 7-6 win over czech qualifier tomas zib.  roddick broke a racket in frustration in the third game of the second set. and afterwards was unimpressed with his form.  i m not playing great   he said.  but i m through and i m going to keep battling.  a lot of people are under the assumption that it s easy to play well every week and it s not.  it is the 12th time in 13 appearances at the event that agassi  now 34  has progressed to the quarter-final stage. he came from 0-40 down in the opening game to hold serve and gradually wore carlsen down after attacking his backhand. agassi also employed several lobs and charged to the net to unsettle the 31-year-old dane  ranked 88th in the world.  as the match went on  i got real patient and waited for my opportunities and felt pretty good   said agassi.,sport,sport, sport,output: sport
sport,pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.  keegan has decided to step down as city manager when his contract comes to an end in 18 months.  you don t have to be einstein to realise there will be a manager s job available at a really good club   pearce told bbc gmr.  i will certainly be applying for it  although whether the board deem me good enough to take it  i do not know.  pearce initially joined city as a player under keegan in 2001 before becoming part of the coaching staff. he was promoted to joint assistant-manager following the departure of arthur cox last summer.  the former england defender had a year as player-boss with nottingham forest eight seasons ago but has made no secret of his desire to have another crack at the job. he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave. but it now appears pearce is keen to wait for his chance at city. he added:  by that time  i will have been here for five years so at least they will have had a good look at me and they are aware of my feelings with regard to being kevin s successor.  obviously  the issue is out of my hands but it is a fantastic job for anybody - i just hope it will be me.,sport,sport, sport,output: sport
sport,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.,sport,sport, sport,output: sport
tech,new year s texting breaks record a mobile phone was as essential to the recent new year s festivities as a party mood and auld lang syne  if the number of text messages sent is anything to go by.  between midnight on 31 december and midnight on 1 january  133m text messages were sent in the uk. it is the highest ever daily total recorded by the mobile data association (mda). it represents an increase of 20% on last year s figures.  wishing a happy new year to friends and family via text message has become a staple ingredient of the year s largest party. while texting has not quite overtaken the old-fashioned phone call  it is heading that way  said mike short  chairman of the mda.  in the case of a new years eve party  texting is useful if you are unable to speak or hear because of a noisy background   he said. there were also lots of messages sent internationally  where different time zones made traditional calls unfeasible  he said. the british love affair with texting shows no signs of abating and the annual total for 2004 is set to exceed 25bn  according to mda. the mda predicts that 2005 could see more than 30bn text messages sent in the uk.  we thought texting might slow down as mms took off but we have seen no sign of that   said mr short. more and more firms are seeing the value in mobile marketing. restaurants are using text messages to tell customers about special offers and promotions.  anyone in need of a bit of january cheer now the party season is over  can use a service set up by jongleurs comedy club  which will text them a joke a day. for those still wanting to drink and be merry as the long days of winter draw in  the good pub guide offers a service giving the location and address of their nearest recommended pub. users need to text the word goodpub to 85130. if they want to turn the evening into a pub crawl  they simply text the word next. and for those still standing at the end of the night  a taxi service in london is available via text  which will locate the nearest available black cab.,entertainment,tech," sport, tech, entertainment",output: tech
entertainment,dj double act revamp chart show dj duo jk and joel are taking over bbc radio 1 s flagship chart show on sunday  adding showbiz news  celebrity interviews and between-song banter.  they hope to boost ratings for the long-running show  which has been overtaken in popularity by independent radio s hit 40 uk rundown.  radio 1 s chart show is an institution and remains the station s single most popular show   says jk  also known as jason king.  for years people have been tuning in at four o clock with their tape recorders ready to record their favourite tunes. not that i ever did that.  but things have moved on a lot now so it was time for a change.   that change involved ejecting previous host wes butters and relocating king and dj partner joel ross from their weekend afternoon radio 1 slot. the pair have worked together for a decade - meeting on viking radio in hull before moving to manchester station key 103 and winning two sony radio awards. they also presented gadget series playboyz and car show motor maniacs for cable tv channel granada men and motors  and pure soap on bbc three.  on the revamped chart show their cheeky  laddish banter will punctuate star interviews and competitions  film and dvd charts plus a look at future single releases  in addition to the singles chart itself.  the chart rundown is no longer the only point of the programme   says ross.  the show used to be the only way to discover who was in the top 40. now you can just click on the internet to find that out  so the show has plenty of extra items too.  the show s reduced reliance upon the top 40 also reflects the fact that music fans are now more likely to download songs in digital format rather than buy them on compact disc  vinyl or cassette.   i personally buy downloads rather than cd singles   says 27-year-old ross.  even my grandma can download songs now. jk is still struggling with the technology  though.   but it s premature for people to say that the singles chart is dead   ross adds.  while sales of singles on traditional formats are down  interest in songs has been revived by download sales  which will be incorporated into our main chart rundown from april.  music fans still want to know what is the most popular song of the week.   ross will be plumping for chart success from rapper verbalicious and the stereophonics on sunday  while king is more of an r&b and dance music fan.  so listeners will get the advantage of both our music tastes   says king  30  who describes outgoing host butters as  an extremely professional and competent broadcaster .   the advantage joel and i have is that we re a double act  with a rapport between us that makes the show much more interactive   king says.  wes has a great broadcasting career ahead of him. and if not  i could always use a cleaner   he jokes. ross says the pair have done their best to ignore the weight of expectation placed upon the revamped show.  other people can worry about that  we are going to continue doing what we do well   he says.  at the end of the day this is a radio show that is meant to be entertaining. nobody died.,entertainment,entertainment, sport,output: entertainment
sport,munster cup tie switched to spain munster s heineken cup quarter-final tie against biarritz on 3 april has been switched to real sociedad s paseo de anoeta stadium in san sebastian.  real s ground holds 32 000 whereas the parc des sports aguilera in biarritz has a capacity of just 12 667. the irish province will be given at least 8 000 tickets.  the decision to move was a difficult one  but as we considered the fans as one of our primary objectives   said biarritz chairman marcel martin.  we hope we will be rewarded as a huge crowd behaving in the best rugby tradition.  the match will be the first heineken cup fixture to be played in spain  and is expected to attract the biggest-ever attendance for a rugby match in the country. ulster were the last irish team to play at the paseo de anoeta stadium where they faced a euskarians side during a pre-season tour in 1998.,sport,sport, sport,output: sport
sport,wenger dejected as arsenal slump arsenal manager arsene wenger claimed their display in the 3-1 defeat against bayern munich was  our worst peformance in the champions league .  kolo toure s late goal gives the gunners hope for the second leg  but wenger said:  the only positive is that we are still in the tie.  the players are really down in the dressing-room. i feel we really turned in a bad performance.  at 3-0 we faced a real struggle  but 3-1 at least gives us a chance.   goalscorer toure was also at fault for two goals  and wenger said:  we need to help toure rebuild his confidence as he is low at the moment.  wenger also tried to stay upbeat himself  adding:  but there is enough time for crying. i could cry - maybe it would be easier - but life goes on.  in this job  you have good and bad nights. this was a bad night - but i still have confidence in the quality of my players  as well as their spirit and desire.  but wenger s bayern counterpart felix magath was in no mood to celebrate either. he said:  i am far from happy despite the win. my players failed to try and score a fourth to kill the tie and then conceded the late goal.   arsenal are fully capable of scoring several goals against us on their own turf.  arsenal keeper jens lehmann  whose personal rivalry with bayern goalkeeper oliver kahn was not helped by the result  said:  do i blame myself for the third goal  as a goalkeeper  i always blame myself.  i just know the goals were very easy against us. in my time here  we have never conceded three easy goals like that - but sometimes it happens.  it would have been impossible to go through at 3-0 - but with the goal we have chances. everything is now possible.,sport,sport, sport,output: sport
politics,blair says mayor should apologise tony blair has urged london mayor ken livingstone to apologise for his  nazi  comment to a jewish reporter.  labour s mr livingstone  who says he is  standing by  his remarks  had accused an evening standard journalist of being like a  concentration camp guard . mr blair told five s wright stuff show:  let s just apologise and move on.  mr livingstone has said the remarks may have been offensive but were not racist  and said he would not apologise even if the prime minister asked.  mr blair  who was instrumental in returning mr livingstone to the labour party  insisted on wednesday it was time for the london mayor to say sorry.   a lot of us in politics get angry with journalists from time to time  but in the circumstances  and to the journalist because he was a jewish journalist  yes  he should apologise   he said.  let s just apologise and move on - that s the sensible thing.  tory leader michael howard  asked about mr livingstone s remark by reporters  said it was important for politicians to be mindful about the language they use.  it s particularly important that as we get close to the election that politicians talk with civility and courtesy about issues that we all face   he said.  i think it s a matter of sadness that we are not seeing that from the labour party. we had what ken livingstone said  we had what alastair campbell has said and we have what others have said. i think that s a matter of great regret.   the row blew up after mr livingstone was approached by evening standard reporter oliver finegold following a party marking the 20th anniversary of former culture secretary chris smith coming out as britain s first gay mp. on tape  mr livingstone  who once worked as a freelance restaurant critic on the paper  is heard asking mr finegold if he is a  german war criminal .  mr finegold replies:  no  i m jewish  i wasn t a german war criminal. i m quite offended by that.  the mayor then says:  ah right  well you might be  but actually you are like a concentration camp guard  you are just doing it because you are paid to  aren t you   at his weekly press conference on tuesday  mr livingstone said his comments were not racist and refused to apologise.  if you think they are racist  i think you are wrong   he told reporters. the dispute comes as an inspection team from the international olympic committee began a four-day tour to assess london s bid for the 2012 games. an official complaint has been made to local government watchdogs by the british jews  demanding an investigation by the standards board of england. it has the power to suspend or bar mr livingstone from public office.,politics,politics, politics,output: politics
entertainment,rapper jay-z becomes label boss rap star jay-z is to become a record company executive after being put in charge of one of hip-hop s most influential labels  def jam.  jay-z  who said he would make no more music after 2003 s the black album  will become the company s president and chief executive from january. def jam s parent company  universal  made the appointment after buying jay-z s roc-a-fella label. def jam s artists include ll cool j  dmx  ludacris  ja rule and ashanti. jay-z will continue to run roc-a-fella  which he founded with damon dash in 1995 and has kanye west and beanie sigel on its roster. universal said on wednesday it had bought the 50% of roc-a-fella it did not already own.  antonio  la  reid  chairman of the island def jam music group  said:  i can think of no-one more relevant and credible in the hip-hop community to build upon def jam s fantastic legacy.  he hoped jay-z would  move the company into its next groundbreaking era   he added. jay-z  real name shawn carter  said:  i have inherited two of the most important brands in hip-hop  def jam and roc-a-fella.   i feel this is a giant step for me and the entire artist community.  one of the most successful and respected rap stars of the last eight years  jay-z s hits have included hard knock life  dirt off your shoulder and 03 bonnie and clyde with his girlfriend beyonce knowles. he said he would retire after the black album  but has just released an album and been on an ill-fated tour with r kelly. def jam was founded in 1984 by russell simmons and producer rick rubin and signed artists including run-dmc  the beastie boys and public enemy.,entertainment,entertainment, entertainment,output: entertainment
